"","k_1","k_5","k_10"
"1",132633.038573649,120273.882225822,117786.472173676
"2",118461.466419865,119150.086944441,120356.525688807
"3",114672.267055579,110267.87832557,118909.580353803
"4",134525.546606858,121289.568200499,117652.307085758
"5",127983.802720077,121744.009593135,119367.404359575
"6",128015.308082428,119418.408760353,118528.37573808
"7",114581.832091583,123929.31307041,122018.142236565
"8",127689.617267674,123061.753964253,119330.660150368
"9",126498.010820272,117252.205396379,116815.573074818
"10",123032.399171793,117984.450633878,121003.565288058
"11",120609.683398322,118923.658386299,117085.807081279
"12",118680.890319325,121353.034298048,114656.913824314
"13",127371.559356064,113249.777360977,118492.710034856
"14",122471.996786519,116490.292847998,119513.768191766
"15",136068.651112782,120432.989606396,120412.494847999
"16",128911.901436463,124444.077901846,112217.010262125
"17",132095.297022673,112269.576486675,117156.95380453
"18",124721.844215635,119471.461486309,121212.024538046
"19",125095.863755894,116978.149473848,124185.901701178
"20",123736.559946767,117959.002968681,113909.747903269
"21",128800.672729478,113381.754834881,120047.729366788
"22",122016.036694135,116464.395828062,117099.458229442
"23",122014.009021732,116437.236494902,118993.168075234
"24",131776.399652819,116925.729981512,119988.47362285
"25",119289.801978457,116710.337959698,116326.255215148
"26",132373.713850663,112228.273498956,118471.916387758
"27",132605.538938766,122852.370898532,117297.419074516
"28",135396.825638514,117577.094105276,120644.225087013
"29",126204.112050061,118135.411308565,115332.254069942
"30",124447.195431185,119935.978585143,117001.603703305
